ID;Erfolgsname
1;Level 10
2;Level 20
3;Level 30
4;Level 40
5;Level 50
6;Level 60
7;Level 70
8;Sicher angelegt
9;Totschläger
10;Zerstörer
11;Brecher
12;Kopfgeldjäger
13;Gewittersturm aller Monster
14;Gewittersturm allen Lebens
15;Allgegenwärtiger Tod
16;Hat jemand ein Veilchen bestellt?
17;Selten
18;Überlegen
19;Episch
20;Aufsatteln!
21;Traber
22;Galopper
23;Wie der Wind
24;Schlachtrüstung der Macht
25;Schlachtrüstung des Zorns
26;Schlachtrüstung des Schreckenspanzers
27;50 Quests abgeschlossen
28;100 Quests abgeschlossen
29;250 Quests abgeschlossen
30;500 Quests abgeschlossen
31;750 Quests abgeschlossen
32;1.000 Quests abgeschlossen
33;1.500 Quests abgeschlossen
34;2.000 Quests abgeschlossen
35;Glitzernde Belohnung
36;Sammler geprägter Münzen
37;Täglich Brot
38;Wohlverdientes Gold
39;Verdient durch Schweiß und Blut
40;Golddrucker
41;Angemessene Entlohnung
42;Der Schlüssel zur Scholomance
43;Meister der Lehren in Kalimdor
44;Meister der Lehren - Durotar
45;Meister der Lehren - Das Brachland
46;Meister der Lehren - Steinkrallengebirge
47;Meister der Lehren - Desolace
48;Meister der Lehren - Tausend Nadeln
49;Meister der Lehren - Düstermarschen
50;Meister der Lehren - Teufelswald
51;Meister der Lehren - Tanaris
52;Meister der Lehren - Un'Goro Krater
53;Meister der Lehren - Azshara
54;Meister der Lehren - Winterspring
55;Meister der Lehren - Silithus
56;Meister der Lehren der östlichen Königreiche
57;Meister der Lehren - Arathihochland
58;Meister der Lehren - Schlingendorntal
59;Meister der Lehren - Ödland
60;Meister der Lehren - Sengende Schlucht
61;Meister der Lehren - Verwüstete Lande
62;Meister der Lehren - Westliche Pestländer
63;Meister der Lehren - Östliche Pestländer
64;Meister der Lehren - Schwarzfels
65;Meister der Lehren von Azeroth
66;Die Grünen Hügel des Schlingendorntals
67;Durchs Höllenfeuer und zurück
68;Durchs Höllenfeuer und zurück
69;Mysterien der Marschen
70;Mysterien der Marschen
71;Terror in Terokkar
72;Terror in Terokkar
73;Nagrand Slam
74;Nagrand Slam
75;Auf schmalem Grat
76;Auf schmalem Grat
77;In den Nether
78;Schatten des Verräters
79;Meister der Lehren der Scherbenwelt
80;Meister der Lehren der Scherbenwelt
81;Der Meister der Lehren
82;Der Meister der Lehren
83;Heißer als die Hölle
84;Wie man in Arkatraz einbricht
85;Die Berührung des Meisters
86;Die Vergangenheit aufwühlen
87;Der Knüppel von Kar'desh
88;Der Schlüssel der Stürme
89;Die Phiolen der Ewigkeit
90;Ein Ablenkungsmanöver für Akama
91;Weltenbummler
92;Erforscht Kalimdor
93;Erforscht Eschental
94;Erforscht Azshara
95;Erforscht Dunkelküste
96;Erforscht Desolace
97;Erforscht Durotar
98;Erforscht Düstermarschen
99;Erforscht Teufelswald
100;Erforscht Feralas
101;Erforscht Mulgore
102;Erforscht Silithus
103;Erforscht Steinkrallengebirge
104;Erforscht Tanaris
105;Erforscht Teldrassil
106;Erforscht Brachland
107;Erforscht Tausend Nadeln
108;Erforscht Krater von Un'Goro
109;Erforscht Winterquell
110;Erforscht Azurmythosinsel
111;Erforscht Blutmythosinsel
112;Erforscht die östlichen Königreiche
113;Erforscht Alteracgebirge
114;Erforscht Arathihochland
115;Erforscht Ödland
116;Erforscht Verwüstete Lande
117;Erforscht Brennende Steppe
118;Erforscht Gebirgspass der Totenwinde
119;Erforscht Dun Morogh
120;Erforscht Dämmerwald
121;Erforscht Östliche Pestländer
122;Erforscht Wald von Elwynn
123;Erforscht Vorgebirge des Hügellands
124;Erforscht Loch Modan
125;Erforscht Rotkammgebirge
126;Erforscht Sengende Schlucht
127;Erforscht Silberwald
128;Erforscht Schlingendorntal
129;Erforscht Sümpfe des Elends
130;Erforscht Hinterland
131;Erforscht Tirisfal
132;Erforscht Westliche Pestländer
133;Erforscht Westfall
134;Erforscht Sumpfland
135;Erforscht Immersangwald
136;Erforscht Geisterlande
137;Erforscht Insel von Quel'Danas
138;Ob groß, ob klein, Tiere sind alle fein
139;Erforscht die Scherbenwelt
140;Erforscht Höllenfeuerhalbinsel
141;Erforscht Zangarmarschen
142;Erforscht Wälder von Terokkar
143;Erforscht Nagrand
144;Erforscht Schergrat
145;Erforscht Nethersturm
146;Erforscht Schattenmondtal
147;Ziemlich selten
148;Verflucht selten
149;Allianz: Gefreiter / Horde: Späher
150;Allianz: Fußknecht / Horde: Grunzer
151;Allianz: Landsknecht / Horde: Waffenträger
152;Allianz: Feldwebel / Horde: Schlachtrufer
153;Allianz: Fähnrich / Horde: Rottenmeister
154;Allianz: Leutnant / Horde: Steingardist
155;Allianz: Hauptmann / Horde: Blutgardist
156;Allianz: Kürassier / Horde: Zornbringer
157;Allianz: Ritter der Allianz / Horde: Klinge der Horde
158;Allianz: Feldkommandant / Horde: Feldherr
159;Allianz: Rittmeister / Horde: Sturmreiter
160;Allianz: Marschall / Horde: Kriegsherr
161;Allianz: Feldmarschall / Horde: Kriegsfürst
162;Allianz: Großmarschall / Horde: Oberster Kriegsfürst
163;Ein ehrenhafter Sieg
164;10 ehrenhafte Siege
165;100 ehrenhafte Siege
166;250 ehrenhafte Siege
167;500 ehrenhafte Siege
168;1.000 ehrenhafte Siege
169;2.500 ehrenhafte Siege
170;5.000 ehrenhafte Siege
171;10.000 ehrenhafte Siege
172;25.000 ehrenhafte Siege
173;50.000 ehrenhafte Siege
174;100.000 ehrenhafte Siege
175;250.000 ehrenhafte Siege
176;500.000 ehrenhafte Siege
177;Der Entweihte
178;Held des Frostwolfklans
179;Vorhut des Kriegshymnenklans
180;Der Eroberer
181;Ritter von Arathor
182;Held der Sturmlanzengarde
