ID; Name; Description; Icon
1 ; Level 10 ; Erreicht Level 10. ; -achievement_level_10
2 ; Level 20 ; Erreicht Level 20. ; -achievement_level_20
3 ; Level 30 ; Erreicht Level 30. ; -achievement_level_30
4 ; Level 40 ; Erreicht Level 40. ; -achievement_level_40
5 ; Level 50 ; Erreicht Level 50. ; -achievement_level_50
6 ; Level 60 ; Erreicht Level 60. ; -achievement_level_60
7 ; Level 70 ; Erreicht Level 70. ; -achievement_level_70
8 ; Sicher angelegt ; Kauft 6 zusätzliche Bankplätze. ; -inv_box_01
9 ; Totschläger ; Tötet 100 Gegner. ; -inv_misc_monsterclaw_02
10 ; Zerstörer ; Tötet 1.000 Gegner. ; -inv_misc_monsterclaw_02
11 ; Brecher ; Tötet 5.000 Gegner. ; -inv_misc_monsterclaw_02
12 ; Kopfgeldjäger ; Tötet 10.000 Gegner. ; -inv_misc_monsterclaw_02
13 ; Gewittersturm aller Monster ; Tötet 25.000 Gegner. ; -inv_misc_monsterclaw_02
14 ; Gewittersturm allen Lebens ; Tötet 50.000 Gegner. ; -inv_misc_monsterclaw_02
15 ; Allgegenwärtiger Tod ; Tötet 100.000 Gegner. ; -inv_misc_monsterclaw_02
16 ; Hat jemand ein Veilchen bestellt? ; Erreicht eine unbewaffnete Fertigkeit von 300. ; -ability_warrior_secondwind
17 ; Selten ; Legt an jedem Platz einen Gegenstand von seltener Qualität an. ; -Inv_Enchant_EssenceNetherSmall
18 ; Überlegen ; Legt an jedem Platz einen Gegenstand von überragender Qualität an. ; -Spell_Frost_WizardMark
19 ; Episch ; Legt an jedem Platz einen epischen Gegenstand an. ; -Inv_Enchant_ShardNexusLarge
20 ; Aufsatteln! ; Erlernt die Fähigkeit 'Unerfahrener Reiter'. ; -Ability_Mount_RidingHorse
21 ; Traber ; Erlernt die Fähigkeit 'Geübter Reiter'. ; -Ability_Mount_BlackPanther
22 ; Galopper ; Erlernt die Fähigkeit 'Erfahrener Reiter'. ; -Ability_Mount_Gryphon_01
23 ; Wie der Wind ; Erlernt die Fähigkeit 'Gekonnter Reiter'. ; -Ability_Mount_RocketMount
24 ; Gewänder des Cenarius ; Sammelt alle Gegenstände des genannten Sets. ; -inv_helmet_09
25 ; Gewänder des Stormrage ; Sammelt alle Gegenstände des genannten Sets. ; -inv_helmet_09
26 ; Gewandung des Traumwandlers ; Sammelt alle Gegenstände des genannten Sets. ; -inv_helmet_15
