ID; Name; Description
1 ; Level 10 ; Reach level 10. ; -achievement_level_10
2 ; Level 20 ; Reach level 20. ; -achievement_level_20
3 ; Level 30 ; Reach level 30. ; -achievement_level_30
4 ; Level 40 ; Reach level 40. ; -achievement_level_40
5 ; Level 50 ; Reach level 50. ; -achievement_level_50
6 ; Level 60 ; Reach level 60. ; -achievement_level_60
7 ; Level 70 ; Reach level 70. ; -achievement_level_70
8 ; Safe Deposit ; Buy 7 additional bank slots. ; -inv_box_01
9 ; Killer ; Kill 100 monsters. ; -inv_misc_monsterclaw_02
10 ; Destroyer ; Kill 1000 monsters. ; -inv_misc_monsterclaw_02
11 ; Crusher ; Kill 5000 monsters. ; -inv_misc_monsterclaw_02
12 ; Headhunter ; Kill 10000 monsters. ; -inv_misc_monsterclaw_02
13 ; Thunderstorm of the monsters ; Kill 25000 monsters. ; -inv_misc_monsterclaw_02
14 ; Thunderstorm of all living things ; Kill 50000 monsters. ; -inv_misc_monsterclaw_02
15 ; Omnipresent Death ; Kill 100000 monsters. ; -inv_misc_monsterclaw_02
16 ; Did Somebody Order a Knuckle Sandwich? ; Raise your unarmed skill to 350. ; -ability_warrior_secondwind
17 ; Not so ordinary anymore ; Equip yourself with items of uncommon or higher quality. ; -Inv_Enchant_EssenceNetherSmall
18 ; Superior ; Equip a superior item in every slot ; -Spell_Frost_WizardMark
19 ; Epic ; Equip an epic item in every slot  ; -Inv_Enchant_ShardNexusLarge
20 ; Giddy Up! ; Learn the Apprentice riding skill. ; -Ability_Mount_RidingHorse
21 ; Fast and Furious ; Learn the Journeyman riding skill. ; -Ability_Mount_BlackPanther
22 ; Into The Wild Blue Yonder ; Learn the Expert riding skill. ; -Ability_Mount_Gryphon_01
23 ; The Right Stuff ; Learn the Artisan riding skill. ; -Ability_Mount_RocketMount
24 ; Lawbringer Armor ; Collect all items of the mentioned set. ; -inv_helmet_05
25 ; Judgement Armor ; Collect all items of the mentioned set. ; -inv_helmet_74
26 ; Redemption Armor ; Collect all items of the mentioned set. ; -inv_helmet_15
27 ; 50 Quests Completed ; Complete 50 quests. ; achievement_quests_completed_01
28 ; 100 Quests Completed ; Complete 100 quests. ; achievement_quests_completed_02
29 ; 250 Quests Completed ; Complete 250 quests. ; achievement_quests_completed_03
30 ; 500 Quests Completed ; Complete 500 quests. ; achievement_quests_completed_04
31 ; 750 Quests Completed ; Complete 750 quests. ; achievement_quests_completed_05
32 ; 1000 Quests Completed ; Complete 1000 quests. ; achievement_quests_completed_06
33 ; 1500 Quests Completed ; Complete 1500 quests. ; achievement_quests_completed_07
34 ; 2000 Quests Completed ; Complete 2000 quests. ; achievement_quests_completed_08
35 ; Glittering Reward ; Make 5 gold from quest rewards. ; -Inv_Misc_Coin_05
36 ; Collector of minted Coins ; Make 10 gold from quest rewards. ; -Inv_Misc_Coin_06
37 ; Breadwinner ; Make 25 gold from quest rewards. ; -Inv_Misc_Coin_03
38 ; Well-deserved Gold ; Make 50 gold from quest rewards. ; -Inv_Misc_Coin_04
39 ; Earned with Sweat and Blood ; Make 100 gold from quest rewards. ; -Inv_Misc_Coin_01
40 ; Golden Printer ; Make 250 gold from quest rewards. ; -Inv_Misc_Coin_02
41 ; I'm Mint Myself ; Make 500 gold from quest rewards. ; -Inv_Misc_Coin_02
42 ; The Key to Scholomance ; Obtain the Skeleton Key. ; -inv_misc_key_11
43 ; Loremaster of Kalimdor ; Complete the Kalimdor quest achievements in  listed below. ; -achievement_zone_kalimdor_01
44 ; Loremaster of Durotar ; Complete quest "Securing the Lines" in Durotar. ; -achievement_zone_durotar
45 ; Loremaster of The Barrens ; Complete the following quests in The Barrens. ; -achievement_zone_barrens_01
46 ; Loremaster of Stonetalon Mountains ; Complete quest "Gerenzo Wrenchwhistle" in Stonetalon Mountains. ; -achievement_zone_stonetalon_01
47 ; Loremaster of Desolace ; Complete quest "Book of the Ancients" in Desolace. ; -achievement_zone_desolace
48 ; Loremaster of Thousand Needles ; Complete quest "Safety First" in Thousand Needles. ; -achievement_zone_thousandneedles_01
49 ; Loremaster of Dustwallow marsh ; Complete quest "Jarl Needes a Blade" in Dustwallow marsh. ; -achievement_zone_dustwallowmarsh
50 ; Loremaster of Felwood ; Complete the following quests in Felwood. ; -achievement_zone_felwood
51 ; Loremaster of Tanaris ; Complete the following quests in Tanaris. ; -achievement_zone_tanaris_01
52 ; Loremaster of Un'Goro Crater ; Complete the following quests in Un'Goro Crater. ; -achievement_zone_ungorocrater_01
53 ; Loremaster of Azshara ; Complete quest "Azsharite" in Azshara. ; -achievement_zone_azshara_01
54 ; Loremaster of Winterspring ; Complete the following quests in Winterspring. ; -achievement_zone_winterspring
55 ; Loremaster of Silithus ; Complete the following quests in Silithus. ; -achievement_zone_silithus_01
56 ; Loremaster of Eastern Kingdoms ; Complete the Eastern Kingdoms quest achievements in listed below. ; -achievement_zone_easternkingdoms_01
57 ; Loremaster of Arathi Highlands ; Complete quest "Breaking the Keystone" in Arathi Highlands. ; -achievement_zone_arathihighlands_01
58 ; Loremaster of Stranglethorn Vale ; Complete the following quests in Stranglethorn Vale. ; -achievement_zone_stranglethorn_01
59 ; Loremaster of Badlands ; Complete the following quests in Badlands. ; -achievement_zone_badlands_01
60 ; Loremaster of Searing Gorge ; Complete quest "Trinkets..." in Searing Gorge. ; -achievement_zone_searinggorge_01
61 ; Loremaster of Blasted Lands ; Complete quest "You Are Rakh'likh, Demon" in Blasted Lands. ; -achievement_zone_blastedlands_01
62 ; Loremaster of Western Plaguelands ; Complete the following quests in Western Plaguelands. ; -achievement_zone_westernplaguelands_01
63 ; Loremaster of Eastern Plaguelands ; Complete the following quests in Eastern Plaguelands. ; -achievement_zone_easternplaguelands
64 ; Loremaster of Blackrock Mountain ; Complete quest "Return to Bodley" in Blackrock Mountain. ; -achievement_zone_blackrock_01
65 ; Loremaster of Azeroth ; Complete the quest achievements listed below. ; -Inv_Misc_Book_09
66 ; The Green Hills of Stranglethorn ; Complete all of Hemet Nesingwary quests in Stranglethorn Vale up to and including The Green Hills of Stranglethorn and Big Game Hunter. ; -ability_mount_whitetiger
67 ; To Hellfire and Back ; Complete the Hellfire Peninsula storylines listed below. ; -achievement_zone_hellfirepeninsula_01
68 ; To Hellfire and Back ; Complete the Hellfire Peninsula storylines listed below. ; -achievement_zone_hellfirepeninsula_01
69 ; Mysteries of the Marsh ; Complete the Zangarmarsh storylines listed below. ; achievement_zone_zangarmarsh
70 ; Mysteries of the Marsh ; Complete the Zangarmarsh storylines listed below. ; achievement_zone_zangarmarsh
71 ; Terror of Terokkar ; Complete the Terokkar Forest storylines listed below. ; achievement_zone_terrokar
72 ; Terror of Terokkar ; Complete the Terokkar Forest storylines listed below. ; achievement_zone_terrokar
73 ; Nagrand Slam ; Complete the Nagrand storylines listed below. ; achievement_zone_nagrand_01
74 ; Nagrand Slam ; Complete the Nagrand storylines listed below. ; achievement_zone_nagrand_01
75 ; On the Blade's Edge ; Complete the Blade's Edge Mountains storylines listed below.. ; achievement_zone_bladesedgemtns_01
76 ; On the Blade's Edge ; Complete the Blade's Edge Mountains storylines listed below.. ; achievement_zone_bladesedgemtns_01
77 ; Into the Nether ; Complete the Netherstorm storylines listed below. ; achievement_zone_netherstorm_01
78 ; Shadow of the Betrayer ; Complete the Shadowmoon Valley storylines listed below. ; achievement_zone_shadowmoon
79 ; Loremaster of Outland ; Complete the Outland quest achievements listed below. ; -achievement_zone_outland_01
80 ; Loremaster of Outland ; Complete the Outland quest achievements listed below. ; -achievement_zone_outland_01
81 ; The Loremaster ; Complete the quest achievements listed below. ; -Inv_Misc_Book_07
82 ; The Loremaster ; Complete the quest achievements listed below. ; -Inv_Misc_Book_07
83 ; Hotter than Hell ; Obtain the Shattered Halls Key. ; -inv_misc_key_02
84 ; How to Break Into the Arcatraz ; Obtain the Key to the Arcatraz. ; -inv_datacrystal03
85 ; The Master's Touch ; Obtain The Master's Key. ; -inv_misc_key_07
86 ; Digging Up the Past ; Obtain the Blackened Urn. ; -inv_misc_urn_01
87 ; The Cudgel of Kar'desh ; Gain access to the Serpentshrine Cavern. ; -inv_trinket_naxxramas01
88 ; The Tempest Key ; Obtain The Tempest Key. ; -inv_datacrystal11
89 ; The Vials of Eternity ; Gain access to the Battle of Mount Hyjal. ; -inv_potion_101
90 ; A Distraction for Akama ; Obtain the Medallion of Karabor. ; -inv_jewelry_amulet_04
