ID; Name; Description; Icon
1; Level 10; Erreicht Level 10.; level_10
2; Level 20; Erreicht Level 20.; level_20
3; Level 30; Erreicht Level 30.; level_30
4; Level 40; Erreicht Level 40.; level_40
5; Level 50; Erreicht Level 50.; level_50
6; Level 60; Erreicht Level 60.; level_60
8; Sicher angelegt; Kauft 7 zusätzliche Bankplätze.; -inv_box_01
9; Totschläger; Tötet 100 Gegner.; -inv_misc_monsterclaw_02
10; Zerstörer; Tötet 1.000 Gegner.; -inv_misc_monsterclaw_02
11; Brecher; Tötet 5.000 Gegner.; -inv_misc_monsterclaw_02
12; Kopfgeldjäger; Tötet 10.000 Gegner.; -inv_misc_monsterclaw_02
13; Gewittersturm aller Monster; Tötet 25.000 Gegner.; -inv_misc_monsterclaw_02
14; Gewittersturm allen Lebens; Tötet 50.000 Gegner.; -inv_misc_monsterclaw_02
15; Allgegenwärtiger Tod; Tötet 100.000 Gegner.; -inv_misc_monsterclaw_02
16; Hat jemand ein Veilchen bestellt?; Erreicht eine unbewaffnete Fertigkeit von 350.; -ability_warrior_secondwind
17; Selten; Legt an jedem Platz einen Gegenstand von seltener Qualität an.; -Inv_Enchant_EssenceNetherSmall
18; Überlegen; Legt an jedem Platz einen Gegenstand von überragender Qualität an.; -Spell_Frost_WizardMark
19; Episch; Legt an jedem Platz einen epischen Gegenstand an.; -Inv_Enchant_ShardNexusLarge
24; Schlachtrüstung der Macht; Sammelt alle Gegenstände des genannten Sets.; -inv_helmet_09
25; Schlachtrüstung des Zorns; Sammelt alle Gegenstände des genannten Sets.; -inv_helmet_71
26; Schlachtrüstung des Schreckenspanzers; Sammelt alle Gegenstände des genannten Sets.; -inv_helmet_58
27; 50 Quests abgeschlossen; Schließt 50 Quests ab.; achievement_quests_completed_01
28; 100 Quests abgeschlossen; Schließt 100 Quests ab.; achievement_quests_completed_02
29; 250 Quests abgeschlossen; Schließt 250 Quests ab.; achievement_quests_completed_03
30; 500 Quests abgeschlossen; Schließt 500 Quests ab.; achievement_quests_completed_04
31; 750 Quests abgeschlossen; Schließt 750 Quests ab.; achievement_quests_completed_05
32; 1.000 Quests abgeschlossen; Schließt 1.000 Quests ab.; achievement_quests_completed_06
33; 1.500 Quests abgeschlossen; Schließt 1.500 Quests ab.; achievement_quests_completed_07
34; 2.000 Quests abgeschlossen; Schließt 2.000 Quests ab.; achievement_quests_completed_08
35; Glitzernde Belohnung; Erhaltet 5 Gold durch Questbelohnungen.; -Inv_Misc_Coin_05
36; Sammler geprägter Münzen; Erhaltet 10 Gold durch Questbelohnungen.; -Inv_Misc_Coin_06
37; Täglich Brot; Erhaltet 25 Gold durch Questbelohnungen.; -Inv_Misc_Coin_03
38; Wohlverdientes Gold; Erhaltet 50 Gold durch Questbelohnungen.; -Inv_Misc_Coin_04
39; Verdient durch Schweiß und Blut; Erhaltet 100 Gold durch Questbelohnungen.; -Inv_Misc_Coin_01
40; Golddrucker; Erhaltet 250 Gold durch Questbelohnungen.; -Inv_Misc_Coin_02
41; Angemessene Entlohnung; Erhaltet 500 Gold durch Questbelohnungen.; -Inv_Misc_Coin_02
42; Der Schlüssel zur Scholomance; Erhaltet den Skelettschlüssel.; -inv_misc_key_11
43; Meister der Lehren in Kalimdor; Schließt die unten aufgelisteten Questerfolge in Kalimdor ab.; kalimdor
44; Meister der Lehren - Durotar; Schließt die Quest "Sicherung der Linien" in Durotar ab.; durotar
45; Meister der Lehren - Das Brachland; Schließt die folgenden Quests in Das Brachland ab.; barrens
46; Meister der Lehren - Steinkrallengebirge; Schließt die Quest "Gerenzo Pfeifzang" in Steinkrallengebirge ab.; stonetalon
47; Meister der Lehren - Desolace; Schließt die Quest "Buch der Uralten" in Desolace ab.; desolace
48; Meister der Lehren - Tausend Nadeln; Schließt die Quest "Sicherheit zuerst" in Tausend Nadeln ab.; thousand_needles
49; Meister der Lehren - Düstermarschen; Schließt die Quest "Jarl braucht eine Klinge" in Düstermarschen ab.; dustwallow
50; Meister der Lehren - Teufelswald; Schließt die folgenden Quests in Teufelswald ab.; felwood
51; Meister der Lehren - Tanaris; Schließt die folgenden Quests in Tanaris ab.; tanaris
52; Meister der Lehren - Un'Goro Krater; Schließt die folgenden Quests in Un'Goro Krater ab.; ungoro
53; Meister der Lehren - Azshara; Schließt die Quest "Azsharit" in Azshara ab.; azshara
54; Meister der Lehren - Winterspring; Schließt die folgenden Quests in Winterspring ab.; winterspring
55; Meister der Lehren - Silithus; Schließt die folgenden Quests in Silithus ab.; silithus
56; Meister der Lehren der östlichen Königreiche; Schließt die unten aufgelisteten Questerfolge in den östlichen Königreichen ab.; eastern_kingdoms
57; Meister der Lehren - Arathihochland; Schließt die Quest "Den Hauptstein zerbrechen" in Arathihochland ab.; arathi
58; Meister der Lehren - Schlingendorntal; Schließt die folgenden Quests in Schlingendorntal ab.; stranglethorn_valley
59; Meister der Lehren - Ödland; Schließt die folgenden Quests in Ödland ab.; badlands
60; Meister der Lehren - Sengende Schlucht; Schließt die Quest "Plunder..." in Sengende Schlucht ab.; searing_gorge
61; Meister der Lehren - Verwüstete Lande; Schließt die Quest "Ihr seid Rakh'likh, Dämon" in Verwüstete Lande ab.; blasted_lands
62; Meister der Lehren - Westliche Pestländer; Schließt die folgenden Quests in Westliche Pestländer ab.; western_plaguelands
63; Meister der Lehren - Östliche Pestländer; Schließt die folgenden Quests in Östliche Pestländer ab.; eastern_plaguelands
64; Meister der Lehren - Schwarzfels; Schließt die Quest "Rückkehr zu Bodley" in Schwarzfels ab.; black_rock
65; Meister der Lehren von Azeroth; Schließt die unten aufgelisteten Questerfolge ab.; -Inv_Misc_Book_09
66; Die Grünen Hügel des Schlingendorntals; Schließt alle Hemet Nesingwary-Quests im Schlingendorntal ab, bis hin zu 'Die Grünen Hügel des Schlingendorntals' und 'Großwildjäger'.; -ability_mount_whitetiger
91; Weltenbummler; Erforscht die östlichen Königreiche, Kalimdor und die Scherbenwelt.; inv_misc_map02
92; Erforscht Kalimdor; Erforscht die Regionen Kalimdors.; kalimdor
93; Erforscht Eschental; Erforscht Eschental und enthüllt die verdeckten Gebiete auf der Weltkarte.; ashenvale
94; Erforscht Azshara; Erforscht Azshara und enthüllt die verdeckten Gebiete auf der Weltkarte.; azshara
95; Erforscht Dunkelküste; Erforscht Dunkelküste und enthüllt die verdeckten Gebiete auf der Weltkarte.; darkshore
96; Erforscht Desolace; Erforscht Desolace und enthüllt die verdeckten Gebiete auf der Weltkarte.; desolace
97; Erforscht Durotar; Erforscht Durotar und enthüllt die verdeckten Gebiete auf der Weltkarte.; durotar
98; Erforscht Düstermarschen; Erforscht Düstermarschen und enthüllt die verdeckten Gebiete auf der Weltkarte.; dustwallow
99; Erforscht Teufelswald; Erforscht Teufelswald und enthüllt die verdeckten Gebiete auf der Weltkarte.; felwood
100; Erforscht Feralas; Erforscht Feralas und enthüllt die verdeckten Gebiete auf der Weltkarte.; feralas
101; Erforscht Mulgore; Erforscht Mulgore und enthüllt die verdeckten Gebiete auf der Weltkarte.; mulgore
102; Erforscht Silithus; Erforscht Silithus und enthüllt die verdeckten Gebiete auf der Weltkarte.; silithus
103; Erforscht Steinkrallengebirge; Erforscht Steinkrallengebirge und enthüllt die verdeckten Gebiete auf der Weltkarte.; stonetalon
104; Erforscht Tanaris; Erforscht Tanaris und enthüllt die verdeckten Gebiete auf der Weltkarte.; tanaris
105; Erforscht Teldrassil; Erforscht Teldrassil und enthüllt die verdeckten Gebiete auf der Weltkarte.; teldrassil
106; Erforscht Brachland; Erforscht Brachland und enthüllt die verdeckten Gebiete auf der Weltkarte.; barrens
107; Erforscht Tausend Nadeln; Erforscht Tausend Nadeln und enthüllt die verdeckten Gebiete auf der Weltkarte.; thousand_needles
108; Erforscht Krater von Un'Goro; Erforscht Krater von Un'Goro und enthüllt die verdeckten Gebiete auf der Weltkarte.; ungoro
109; Erforscht Winterquell; Erforscht Winterquell und enthüllt die verdeckten Gebiete auf der Weltkarte.; winterspring
112; Erforscht die östlichen Königreiche; Erforscht die Regionen der östlichen Königreiche.; eastern_kingdoms
113; Erforscht Alteracgebirge; Erforscht Alteracgebirge und enthüllt die verdeckten Gebiete auf der Weltkarte.; alterac_mountains
114; Erforscht Arathihochland; Erforscht Arathihochland und enthüllt die verdeckten Gebiete auf der Weltkarte.; arathi
115; Erforscht Ödland; Erforscht Ödland und enthüllt die verdeckten Gebiete auf der Weltkarte.; badlands
116; Erforscht Verwüstete Lande; Erforscht Verwüstete Lande und enthüllt die verdeckten Gebiete auf der Weltkarte.; blasted_lands
117; Erforscht Brennende Steppe; Erforscht Brennende Steppe und enthüllt die verdeckten Gebiete auf der Weltkarte.; burning_steppes
118; Erforscht Gebirgspass der Totenwinde; Erforscht Gebirgspass der Totenwinde und enthüllt die verdeckten Gebiete auf der Weltkarte.; deadwind_pass
119; Erforscht Dun Morogh; Erforscht Dun Morogh und enthüllt die verdeckten Gebiete auf der Weltkarte.; dun_morogh
120; Erforscht Dämmerwald; Erforscht Dämmerwald und enthüllt die verdeckten Gebiete auf der Weltkarte.; duskwood
121; Erforscht Östliche Pestländer; Erforscht Östliche Pestländer und enthüllt die verdeckten Gebiete auf der Weltkarte.; eastern_plaguelands
122; Erforscht Wald von Elwynn; Erforscht Wald von Elwynn und enthüllt die verdeckten Gebiete auf der Weltkarte.; elwynn_forest
123; Erforscht Vorgebirge des Hügellands; Erforscht Vorgebirge des Hügellands und enthüllt die verdeckten Gebiete auf der Weltkarte.; hillsbrad
124; Erforscht Loch Modan; Erforscht Loch Modan und enthüllt die verdeckten Gebiete auf der Weltkarte.; loch_modan
125; Erforscht Rotkammgebirge; Erforscht Rotkammgebirge und enthüllt die verdeckten Gebiete auf der Weltkarte.; redridge_mountains
126; Erforscht Sengende Schlucht; Erforscht Sengende Schlucht und enthüllt die verdeckten Gebiete auf der Weltkarte.; searing_gorge
127; Erforscht Silberwald; Erforscht Silberwald und enthüllt die verdeckten Gebiete auf der Weltkarte.; silverpine_forest
128; Erforscht Schlingendorntal; Erforscht Schlingendorntal und enthüllt die verdeckten Gebiete auf der Weltkarte.; stranglethorn_valley
129; Erforscht Sümpfe des Elends; Erforscht Sümpfe des Elends und enthüllt die verdeckten Gebiete auf der Weltkarte.; swamp_of_sorrows
130; Erforscht Hinterland; Erforscht Hinterland und enthüllt die verdeckten Gebiete auf der Weltkarte.; hinterlands
131; Erforscht Tirisfal; Erforscht Tirisfal und enthüllt die verdeckten Gebiete auf der Weltkarte.; tirisfal_glades
132; Erforscht Westliche Pestländer; Erforscht Westliche Pestländer und enthüllt die verdeckten Gebiete auf der Weltkarte.; western_plaguelands
133; Erforscht Westfall; Erforscht Westfall und enthüllt die verdeckten Gebiete auf der Weltkarte.; westfall
134; Erforscht Sumpfland; Erforscht Sumpfland und enthüllt die verdeckten Gebiete auf der Weltkarte.; wetlands
138; Ob groß, ob klein, Tiere sind alle fein; Zeigt den Tieren in Azeroth, wie sehr Ihr sie liebt (/liebe).; inv_jewelcrafting_crimsonhare
149; Gefreiter; Den Titel "Gefreiter" erhalten.; pvp_rank_1
150; Fußknecht; Den Titel "Fußknecht" erhalten.; pvp_rank_2
151; Landsknecht; Den Titel "Landsknecht" erhalten.; pvp_rank_3
152; Feldwebel; Den Titel "Feldwebel" erhalten.; pvp_rank_4
153; Fähnrich; Den Titel "Fähnrich" erhalten.; pvp_rank_5
154; Leutnant; Den Titel "Leutnant" erhalten.; pvp_rank_6
155; Hauptmann; Den Titel "Hauptmann" erhalten.; pvp_rank_7
156; Kürassier; Den Titel "Kürassier" erhalten.; pvp_rank_8
157; Ritter der Allianz; Den Titel "Ritter der Allianz" erhalten.; pvp_rank_9
158; Feldkommandant; Den Titel "Feldkommandant" erhalten.; pvp_rank_10
159; Rittmeister; Den Titel "Rittmeister" erhalten.; pvp_rank_11
160; Marschall; Den Titel "Marschall" erhalten.; pvp_rank_12
161; Feldmarschall; Den Titel "Feldmarschall" erhalten.; pvp_rank_13
162; Großmarschall; Den Titel "Großmarschall" erhalten.; pvp_rank_14
163; Ein ehrenhafter Sieg; Erringt einen ehrenhaften Sieg.; achievement_pvp_p_01
164; 10 ehrenhafte Siege; Erringt 10 ehrenhafte Siege.; achievement_pvp_p_02
165; 100 ehrenhafte Siege; Erringt 100 ehrenhafte Siege.; achievement_pvp_p_03
166; 250 ehrenhafte Siege; Erringt 250 ehrenhafte Siege.; achievement_pvp_p_04
167; 500 ehrenhafte Siege; Erringt 500 ehrenhafte Siege.; achievement_pvp_p_05
168; 1.000 ehrenhafte Siege; Erringt 1.000 ehrenhafte Siege.; achievement_pvp_p_06
169; 2.500 ehrenhafte Siege; Erringt 2.500 ehrenhafte Siege.; achievement_pvp_p_07
170; 5.000 ehrenhafte Siege; Erringt 5.000 ehrenhafte Siege.; achievement_pvp_p_08
171; 10.000 ehrenhafte Siege; Erringt 10.000 ehrenhafte Siege.; achievement_pvp_p_09
172; 25.000 ehrenhafte Siege; Erringt 25.000 ehrenhafte Siege.; achievement_pvp_p_10
173; 50.000 ehrenhafte Siege; Erringt 50.000 ehrenhafte Siege.; achievement_pvp_p_11
174; 100.000 ehrenhafte Siege; Erringt 100.000 ehrenhafte Siege.; achievement_pvp_p_12
175; 250.000 ehrenhafte Siege; Erringt 250.000 ehrenhafte Siege.; achievement_pvp_p_13
176; 500.000 ehrenhafte Siege; Erringt 500.000 ehrenhafte Siege.; achievement_pvp_p_14
177; Der Entweihte; Erreicht einen ehrfürchtigen Ruf bei den Entweihten.; spell_shadow_psychichorrors
178; Held des Frostwolfklans; Erreicht einen ehrfürchtigen Ruf beim Frostwolfklan.; -Inv_Jewelry_FrostwolfTrinket_05
179; Vorhut des Kriegshymnenklans; Erreicht einen ehrfürchtigen Ruf bei der Vorhut des Kriegshymnenclans.; -ability_warrior_warcry
180; Der Eroberer; Erhöht Euren Ruf in der Kriegshymnenschlucht, dem Arathibecken und dem Alteractal auf ehrfürchtig.; -inv_misc_tabardpvp_04
181; Ritter von Arathor; Erreicht einen ehrfürchtigen Ruf beim Bund von Arathor.; -ability_warrior_rallyingcry
182; Held der Sturmlanzengarde; Erreicht einen ehrfürchtigen Ruf bei der Sturmlanzengarde.; -Inv_Jewelry_Stormpiketrinket_05
183; Schildwache der Silberschwingen; Erreicht einen ehrfürchtigen Ruf bei der Schildwache der Silberschwingen.; -Ability_Racial_Shadowmeld
184; Der Vollstrecker; Erhöht Euren Ruf in der Kriegshymnenschlucht, dem Arathibecken und dem Alteractal auf ehrfürchtig.; -inv_misc_tabardpvp_03
185; Sturm auf Sturmwind; Tötet Hochlord Bolvar Fordragon.; achievement_leader_king_varian_wrynn
186; Tod dem König!; Tötet König Magni Bronzebart.; achievement_leader_king_magni_bronzebeard
187; Von wegen unsterblich; Tötet die Hohepriesterin Tyrande Wisperwind.; achievement_leader_tyrande_whisperwind
189; Für die Horde!; Tötet die Anführer der Allianz.; -inv_bannerpvp_01
190; Tod dem Kriegshäuptling!; Tötet Thrall.; Achievement_Leader_ Thrall
191; Nieder mit der dunklen Fürstin; Tötet Fürstin Sylvanas Windläufer.; Achievement_leader_sylvanas
192; Blutender Bluthuf; Tötet Cairne Bluthuf.; Achievement_Leader_Cairne Bloodhoof
194; Für die Allianz!; Tötet die Anführer der Horde.; -inv_bannerpvp_02
195; Kenne deinen Feind; Erringt einen ehrenhaften Todesstoß bei fünf verschiedenen Völkern.; -Ability_Gouge
196; Kenne deinen Feind; Erringt einen ehrenhaften Todesstoß bei fünf verschiedenen Völkern.; -Ability_Gouge
197; Klasse & Stil; Erreicht einen ehrenhaften Todesstoß gegen einen Vertreter jeder Klasse.; -Ability_Cheapshot
198; Sieg im Alteractal; Gewinnt im Alteractal.; achievement_bg_winav
199; Veteran des Alteractals; Erringt 5 Siege im Alteractal.; achievement_bg_winav
200; Veteran des Alteractals; Erringt 10 Siege im Alteractal.; achievement_bg_winav
201; Veteran des Alteractals; Erringt 25 Siege im Alteractal.; achievement_bg_winav
202; Veteran des Alteractals; Erringt 50 Siege im Alteractal.; achievement_bg_winav
203; Sieg in der Kriegshymnenschlucht; Gewinnt in der Kriegshymnenschlucht.; achievement_bg_winwsg
204; Veteran der Kriegshymnenschlucht; Erringt 5 Siege in der Kriegshymnenschlucht.; achievement_bg_winwsg
205; Veteran der Kriegshymnenschlucht; Erringt 10 Siege in der Kriegshymnenschlucht.; achievement_bg_winwsg
206; Veteran der Kriegshymnenschlucht; Erringt 25 Siege in der Kriegshymnenschlucht.; achievement_bg_winwsg
207; Veteran der Kriegshymnenschlucht; Erringt 50 Siege in der Kriegshymnenschlucht.; achievement_bg_winwsg
208; Sieg im Arathibecken; Gewinnt im Arathibecken.; achievement_bg_winab
209; Veteran des Arathibeckens; Erringt 5 Siege im Arathibecken.; achievement_bg_winab
210; Veteran des Arathibeckens; Erringt 10 Siege im Arathibecken.; achievement_bg_winab
211; Veteran des Arathibeckens; Erringt 25 Siege im Arathibecken.; achievement_bg_winab
212; Veteran des Arathibeckens; Erringt 50 Siege im Arathibecken.; achievement_bg_winab
218; Fleischwolf des Alteractals; Erreicht 5 Todesstöße während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende.; -Spell_Shadow_Summonimp
219; Fleischwolf des Alteractals; Erreicht 10 Todesstöße während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende.; -Spell_Shadow_Summonimp
