Title; Unlocking Achievement ID
Explorer; 91
The Elusive; 652
Battlemaster; 283
Defender of Azeroth; 329
Hero of Azeroth; 344
Great Hero of Azeroth; 345
Emerald Keeper; 352
Jenkins; 353
Azeroth's Greatest Angler; 455
Chef; 461
The Exalted; 474
Bloodsail Admiral; 523
The Hallowed; 531
Merrymaker; 541
The Love Fool; 605
Elder; 611
Patron / Matron; 628
Flame Keeper; 633
The Loremaster; Alliance 81 / Horde 82
Conqueror of the Black Temple; 408
Conqueror of Outland; 515
Champion of the Naaru; 529
Hand of A'dal; 530
Hero of Outland; 631
Great Hero of Outland; 632
Brewmaster; 644
