Schlüssel;Text
MICROBUTTON_TITLE;Erfolge
MICROBUTTON_LEFT_CLICK;Linksklick: Erfolge öffnen.
MICROBUTTON_RIGHT_CLICK;Rechtsklick: Addon-Einstellungen öffnen.
ITEM_FALLBACK;Gegenstand %d
TITLE_FALLBACK_FORMAT;%s, %s
OPTION_RESET_ACHIEVEMENTS_CONFIRM;Möchtet Ihr wirklich alle Erfolge dieses Charakters zurücksetzen?\n\nDieser Vorgang kann nicht rückgängig gemacht werden.
OPTION_ADDON;Addon
OPTION_MODULES;Module
OPTION_MODULE_NAME;Addonname
OPTION_MODULE_VERSION;Version
OPTION_MODULE_AUTHOR;Autor
OPTION_MODULES_EMPTY;Keine aktiven Erweiterungsmodule registriert.
API_TAB_LIST_TITLE;Weitere Tabs
API_TAB_PIN_HINT;Rechtsklick, um diesen Tab unten anzuheften.
API_TAB_UNPIN_HINT;Rechtsklick, um diesen Tab von der unteren Leiste zu lösen.
API_TAB_PIN_LIMIT;Es können höchstens fünf Erweiterungs-Tabs gleichzeitig angeheftet werden.
TITLE_SELECT;Titel auswählen
TITLE_ICON_TOOLTIP;Titel auswählen
TITLE_ICON_TOOLTIP_HINT;Klicken, um die Titelliste zu öffnen.
TITLE_NONE;Kein Titel
TITLE_UNLOCKED;Neuer Titel freigeschaltet: %s
TITLE_LIST_HEADER;Freigeschaltete Anniversary-Titel: %d
TITLE_COMMAND_HELP;"Mit /aatitle <Nummer> wird ein Titel ausgewählt; /aatitle none blendet alle Titel aus."
TITLE_NOT_AVAILABLE;Dieser Titel ist nicht verfügbar.
AN_ONE_OF_A_KIND;Einzigartig
AD_ONE_OF_A_KIND;Tötet einen seltenen Elite-Gegner in Kalimdor oder den Östlichen Königreichen.
AN_EXTREMELY_RARE;Extrem selten
AD_EXTREMELY_RARE;Tötet alle seltenen Elite-Gegner in Kalimdor und den Östlichen Königreichen, die unten aufgelistet sind.
RARE_NPC_3586;Minenarbeiter Johnson
RARE_NPC_3872;Todeshöriger Hauptmann
RARE_NPC_6228;Botschafter der Dunkeleisenzwerge
RARE_NPC_6488;Gestürzter Held
RARE_NPC_6489;Eisenrücken
RARE_NPC_6490;Azshir der Schlaflose
RARE_NPC_7057;Grubenmeister Schaufelphlansch
RARE_NPC_9024;Pyromant Weisenkorn
RARE_NPC_8923;Panzor der Unbesiegbare
RARE_NPC_9041;Wärter Stilgiss
RARE_NPC_9042;Verek
RARE_NPC_9217;Maguslord der Felsspitzoger
RARE_NPC_9218;Kampflord der Felsspitzoger
RARE_NPC_9219;Metzger der Felsspitzoger
RARE_NPC_9596;Bannok Grimmaxt
RARE_NPC_9736;Rüstmeister Zigris
RARE_NPC_10376;Kristallfangzahn
RARE_NPC_10263;Brennende Teufelswache
RARE_NPC_9718;Ghok Haudrauf
RARE_NPC_10509;Jed Runenblick
RARE_NPC_10393;Skul
RARE_NPC_10558;Herdsinger Forresten
RARE_NPC_10809;Steinbuckel
RARE_NPC_99;Morgaine die Verschlagene
RARE_NPC_100;Gruff Schnappflink
RARE_NPC_471;Giftzahnbrutmutter
RARE_NPC_472;Fedfennel
RARE_NPC_61;Thuros Flinkfinger
RARE_NPC_79;Narg der Zuchtmeister
RARE_NPC_1130;Bjarn
RARE_NPC_1132;Holzkopf
RARE_NPC_1137;Edan der Heuler
RARE_NPC_8503;Frickelwelk
RARE_NPC_1260;Altvater Arktikus
RARE_NPC_1119;Baumfaust
RARE_NPC_10827;Todessprecher Selendre
RARE_NPC_10817;Duggan Wildhammer
RARE_NPC_10825;Gish der Unbewegliche
RARE_NPC_10821;Hed'mush der Faulende
RARE_NPC_10828;Hochgeneral Abbendis
RARE_NPC_10826;Lord Finstersense
RARE_NPC_10824;Waldläuferlord Falkenspeer
RARE_NPC_10822;Kriegsherr Thresh'jin
RARE_NPC_10823;Zul'Brin Wirbelstab
RARE_NPC_16184;Nerubischer Aufseher
RARE_NPC_1843;Großknecht Jerris
RARE_NPC_1844;Großknecht Marcrid
RARE_NPC_1847;Faulmähne
RARE_NPC_1838;Scharlachroter Befrager
RARE_NPC_1851;Die Hülse
RARE_NPC_1837;Scharlachroter Richter
RARE_NPC_1885;Scharlachroter Schmied
RARE_NPC_1848;Lord Maldazzar
RARE_NPC_1850;Putridius
RARE_NPC_1839;Scharlachroter Hochkleriker
