Key;Text
MICROBUTTON_TITLE;Achievements
MICROBUTTON_LEFT_CLICK;Left-click: open achievements.
MICROBUTTON_RIGHT_CLICK;Right-click: open addon settings.
ITEM_FALLBACK;Item %d
TITLE_FALLBACK_FORMAT;%s, %s
OPTION_RESET_ACHIEVEMENTS_CONFIRM;Do you really want to reset all achievements for this character?\n\nThis action cannot be undone.
OPTION_ADDON;Addon
OPTION_MODULES;Modules
OPTION_MODULE_NAME;Addon name
OPTION_MODULE_VERSION;Version
OPTION_MODULE_AUTHOR;Author
OPTION_MODULES_EMPTY;No active extension modules registered.
API_TAB_LIST_TITLE;Additional Tabs
API_TAB_PIN_HINT;Right-click to pin this tab to the bottom bar.
API_TAB_UNPIN_HINT;Right-click to remove this tab from the bottom bar.
API_TAB_PIN_LIMIT;Only five extension tabs can be pinned at the same time.
TITLE_SELECT;Select title
TITLE_ICON_TOOLTIP;Select title
TITLE_ICON_TOOLTIP_HINT;Click to open the title list.
TITLE_NONE;No title
TITLE_UNLOCKED;New title unlocked: %s
TITLE_LIST_HEADER;Earned Anniversary titles: %d
TITLE_COMMAND_HELP;Use /aatitle <number> to select a title or /aatitle none to hide all titles.
TITLE_NOT_AVAILABLE;That title is not available.
AN_ONE_OF_A_KIND;One of a Kind
AD_ONE_OF_A_KIND;Kill a rare elite creature in Kalimdor or Eastern Kingdoms.
AN_EXTREMELY_RARE;Extremely Rare
AD_EXTREMELY_RARE;Kill all the rare elite creatures in Kalimdor and Eastern Kingdoms listed below.
RARE_NPC_3586;Miner Johnson
RARE_NPC_3872;Deathsworn Captain
RARE_NPC_6228;Dark Iron Ambassador
RARE_NPC_6488;Fallen Champion
RARE_NPC_6489;Ironspine
RARE_NPC_6490;Azshir the Sleepless
RARE_NPC_7057;Digmaster Shovelphlange
RARE_NPC_9024;Pyromancer Loregrain
RARE_NPC_8923;Panzor the Invincible
RARE_NPC_9041;Warder Stilgiss
RARE_NPC_9042;Verek
RARE_NPC_9217;Spirestone Lord Magus
RARE_NPC_9218;Spirestone Battle Lord
RARE_NPC_9219;Spirestone Butcher
RARE_NPC_9596;Bannok Grimaxe
RARE_NPC_9736;Quartermaster Zigris
RARE_NPC_10376;Crystal Fang
RARE_NPC_10263;Burning Felguard
RARE_NPC_9718;Ghok Bashguud
RARE_NPC_10509;Jed Runewatcher
RARE_NPC_10393;Skul
RARE_NPC_10558;Hearthsinger Forresten
RARE_NPC_10809;Stonespine
RARE_NPC_99;Morgaine the Sly
RARE_NPC_100;Gruff Swiftbite
RARE_NPC_471;Mother Fang
RARE_NPC_472;Fedfennel
RARE_NPC_61;Thuros Lightfingers
RARE_NPC_79;Narg the Taskmaster
RARE_NPC_1130;Bjarn
RARE_NPC_1132;Timber
RARE_NPC_1137;Edan the Howler
RARE_NPC_8503;Gibblewilt
RARE_NPC_1260;Great Father Arctikus
RARE_NPC_1119;Hammerspine
RARE_NPC_10827;Deathspeaker Selendre
RARE_NPC_10817;Duggan Wildhammer
RARE_NPC_10825;Gish the Unmoving
RARE_NPC_10821;Hed'mush the Rotting
RARE_NPC_10828;High General Abbendis
RARE_NPC_10826;Lord Darkscythe
RARE_NPC_10824;Ranger Lord Hawkspear
RARE_NPC_10822;Warlord Thresh'jin
RARE_NPC_10823;Zul'Brin Warpbranch
RARE_NPC_16184;Nerubian Overseer
RARE_NPC_1843;Foreman Jerris
RARE_NPC_1844;Foreman Marcrid
RARE_NPC_1847;Foulmane
RARE_NPC_1838;Scarlet Interrogator
RARE_NPC_1851;The Husk
RARE_NPC_1837;Scarlet Judge
RARE_NPC_1885;Scarlet Smith
RARE_NPC_1848;Lord Maldazzar
RARE_NPC_1850;Putridius
RARE_NPC_1839;Scarlet High Clerist
RARE_NPC_1841;Scarlet Executioner
RARE_NPC_10356;Bayne
RARE_NPC_1911;Deeb
RARE_NPC_1936;Farmer Solliden
RARE_NPC_10358;Fellicent's Shade
RARE_NPC_1531;Lost Soul
RARE_NPC_1910;Muad
RARE_NPC_10357;Ressan the Needler
RARE_NPC_10359;Sri'skulk
RARE_NPC_1533;Tormented Spirit
RARE_NPC_14221;Gravis Slipknot
RARE_NPC_2258;Stone Fury
RARE_NPC_14223;Cranky Benj
RARE_NPC_2453;Lo'Grosh
RARE_NPC_2452;Skhowl
RARE_NPC_12431;Gorefang
RARE_NPC_12433;Krethis Shadowspinner
RARE_NPC_12432;Old Vicejaw
RARE_NPC_1944;Rot Hide Bruiser
RARE_NPC_1948;Snarlmane
RARE_NPC_2283;Ravenclaw Regent
RARE_NPC_1920;Dalaran Spellscribe
RARE_NPC_8213;Ironback
RARE_NPC_8214;Jalinde Summerdrake
RARE_NPC_8216;Retherokk the Berserker
RARE_NPC_8212;The Reak
RARE_NPC_8218;Witherheart the Stalker
RARE_NPC_8219;Zul'arek Hatefowler
RARE_NPC_8210;Razortalon
RARE_NPC_8217;Mith'rethis the Enchanter
RARE_NPC_8215;Grimungous
RARE_NPC_14222;Araga
RARE_NPC_14279;Creepthess
RARE_NPC_14281;Jimmy the Bleeder
RARE_NPC_14277;Lady Zephris
RARE_NPC_8211;Old Cliff Jumper
RARE_NPC_14278;Ro'Bark
RARE_NPC_14276;Scargil
RARE_NPC_14280;Big Samras
RARE_NPC_2447;Narillasanz
RARE_NPC_14275;Tamra Stormpike
RARE_NPC_2779;Prince Nazjak
RARE_NPC_2609;Geomancer Flintdagger
RARE_NPC_2600;Singer
RARE_NPC_2598;Darbel Montrose
RARE_NPC_2601;Foulbelly
RARE_NPC_2602;Ruul Onestone
RARE_NPC_2603;Kovork
RARE_NPC_2604;Molok the Crusher
RARE_NPC_2606;Nimar the Slayer
RARE_NPC_2605;Zalas Witherbark
RARE_NPC_1037;Dragonmaw Battlemaster
RARE_NPC_2108;Garneg Charskull
RARE_NPC_1112;Leech Widow
RARE_NPC_2090;Ma'ruk Wyrmscale
RARE_NPC_1140;Razormaw Matriarch
RARE_NPC_1050;Scalebane Royal Guard
RARE_NPC_14425;Gnawbone
RARE_NPC_14424;Mirelow
RARE_NPC_14433;Sludginn
RARE_NPC_1398;Boss Galgosh
RARE_NPC_1425;Grizlak
RARE_NPC_2476;Large Loch Crocolisk
RARE_NPC_14268;Lord Condar
RARE_NPC_1399;Magosh
